name_enroll,imagenum_enroll,name_verify,imagenum_verify
Anders_Fogh_Rasmussen_1,0,Anders_Fogh_Rasmussen_2,0
Brad_Johnson_1,0,Brad_Johnson_2,0
Candice_Bergen_2,0,Candice_Bergen_3,0
Gideon_Yago_1,0,Gideon_Yago_3,0
Nigel_Redden_1,0,Nigel_Redden_3,0
Juan_Pablo_Montoya_2,0,Juan_Pablo_Montoya_3,0
Tom_Vilsack_2,0,Tom_Vilsack_3,0
Prince_Philippe_1,0,Prince_Philippe_2,0
Nestor_Kirchner_1,0,Nestor_Kirchner_2,0
Linus_Roache_1,0,Linus_Roache_2,0
Cathy_Freeman_1,0,Cathy_Freeman_2,0
Stan_Kroenke_1,0,Stan_Kroenke_2,0
Nursultan_Nazarbayev_2,0,Nursultan_Nazarbayev_3,0
Valentina_Tereshkova_2,0,Valentina_Tereshkova_3,0
Erika_Christensen_2,0,Erika_Christensen_3,0
Jimmy_Kimmel_1,0,Jimmy_Kimmel_3,0
Tyra_Banks_2,0,Tyra_Banks_3,0
Prince_Edward_2,0,Prince_Edward_3,0
Tim_Blake_Nelson_1,0,Tim_Blake_Nelson_2,0
Sam_Brownback_1,0,Sam_Brownback_2,0
Atom_Egoyan_2,0,Atom_Egoyan_3,0
Antonio_Cassano_1,0,Antonio_Cassano_2,0
John_Herrington_1,0,John_Herrington_3,0
Martin_Keown_2,0,Martin_Keown_3,0
Sigourney_Weaver_1,0,Sigourney_Weaver_2,0
Simon_Yam_2,0,Simon_Yam_3,0
Saeb_Erekat_2,0,Saeb_Erekat_3,0
Jack_Grubman_2,0,Jack_Grubman_3,0
Simon_Yam_1,0,Simon_Yam_3,0
Romeo_Gigli_1,0,Romeo_Gigli_2,0
Sigourney_Weaver_2,0,Sigourney_Weaver_3,0
Itzhak_Perlman_2,0,Itzhak_Perlman_3,0
Rafiq_Hariri_2,0,Rafiq_Hariri_3,0
Dai_Bachtiar_1,0,Dai_Bachtiar_2,0
Billy_Bob_Thornton_2,0,Billy_Bob_Thornton_3,0
Rick_Perry_1,0,Rick_Perry_3,0
Bob_Petrino_2,0,Bob_Petrino_3,0
Woody_Allen_1,0,Woody_Allen_3,0
Liu_Xiaoqing_2,0,Liu_Xiaoqing_3,0
Nina_Jacobson_1,0,Nina_Jacobson_3,0
Prince_Rainier_III_1,0,Prince_Rainier_III_2,0
Stefan_Tafrov_2,0,Stefan_Tafrov_3,0
Tom_Vilsack_1,0,Tom_Vilsack_3,0
Maria_Callas_1,0,Maria_Callas_2,0
Prince_Edward_1,0,Prince_Edward_3,0
Nancy_Kerrigan_1,0,Nancy_Kerrigan_2,0
Martin_Short_1,0,Martin_Short_3,0
Taylor_Twellman_2,0,Taylor_Twellman_3,0
Linus_Roache_1,0,Linus_Roache_3,0
Robert_Downey_Jr_1,0,Robert_Downey_Jr_3,0
Stefan_Tafrov_1,0,Stefan_Tafrov_2,0
Calbert_Cheaney_1,0,Calbert_Cheaney_3,0
Augusto_Pinochet_1,0,Augusto_Pinochet_3,0
Nursultan_Nazarbayev_1,0,Nursultan_Nazarbayev_3,0
Martin_Cauchon_1,0,Martin_Cauchon_3,0
Maria_Callas_1,0,Maria_Callas_3,0
Alfonso_Cuaron_1,0,Alfonso_Cuaron_3,0
Milan_Kucan_2,0,Milan_Kucan_3,0
Jimmy_Kimmel_1,0,Jimmy_Kimmel_2,0
Thomas_Watjen_1,0,Thomas_Watjen_2,0
Jimmy_Kimmel_2,0,Jimmy_Kimmel_3,0
Billy_Bob_Thornton_1,0,Billy_Bob_Thornton_2,0
Steve_Ballmer_2,0,Steve_Ballmer_3,0
Bart_Freundlich_1,0,Bart_Freundlich_3,0
Tina_Pisnik_1,0,Tina_Pisnik_2,0
Luis_Ernesto_Derbez_Bautista_1,0,Luis_Ernesto_Derbez_Bautista_2,0
Tom_Glavine_2,0,Tom_Glavine_3,0
Corinne_Coman_1,0,Corinne_Coman_3,0
Sterling_Hitchcock_1,0,Sterling_Hitchcock_3,0
Martina_Hingis_1,0,Martina_Hingis_3,0
Mario_Dumont_2,0,Mario_Dumont_3,0
Rick_Perry_2,0,Rick_Perry_3,0
Ruth_Bader_Ginsburg_1,0,Ruth_Bader_Ginsburg_2,0
Pascal_Affi_Nguessan_1,0,Pascal_Affi_Nguessan_3,0
Rachel_Kempson_2,0,Rachel_Kempson_1,0
Bill_Frist_1,0,Bill_Frist_3,0
Maria_Callas_2,0,Maria_Callas_3,0
Terry_McAuliffe_1,0,Terry_McAuliffe_3,0
Jerry_Tarkanian_1,0,Jerry_Tarkanian_2,0
Terry_McAuliffe_2,0,Terry_McAuliffe_3,0
Fernando_Sanz_1,0,Fernando_Sanz_3,0
Sigourney_Weaver_1,0,Sigourney_Weaver_3,0
Jerry_Tarkanian_1,0,Jerry_Tarkanian_3,0
Tina_Pisnik_1,0,Tina_Pisnik_3,0
Roy_Moore_1,0,Roy_Moore_2,0
Benjamin_Netanyahu_1,0,Benjamin_Netanyahu_3,0
Atom_Egoyan_1,0,Atom_Egoyan_2,0
Sergio_Garcia_1,0,Sergio_Garcia_2,0
Vaclav_Havel_1,0,Vaclav_Havel_2,0
Terry_McAuliffe_1,0,Terry_McAuliffe_2,0
Jennifer_Garner_1,0,Jennifer_Garner_3,0
Erika_Christensen_1,0,Erika_Christensen_2,0
Dimitar_Berbatov_1,0,Dimitar_Berbatov_2,0
Tom_Harkin_1,0,Tom_Harkin_2,0
Matthew_Broderick_1,0,Matthew_Broderick_2,0
Andre_Bucher_2,0,Andre_Bucher_3,0
Martin_Keown_1,0,Martin_Keown_2,0
Woody_Allen_1,0,Woody_Allen_2,0
Bart_Freundlich_2,0,Bart_Freundlich_3,0
Romano_Prodi_1,0,Romano_Prodi_2,0
Phil_Jackson_1,0,Phil_Jackson_2,0
Bill_Frist_1,0,Bill_Frist_2,0
Jerry_Tarkanian_2,0,Jerry_Tarkanian_3,0
Tom_Glavine_1,0,Tom_Glavine_2,0
Lindsey_Graham_1,0,Lindsey_Graham_2,0
Juan_Pablo_Montoya_1,0,Juan_Pablo_Montoya_2,0
Noah_Wyle_1,0,Noah_Wyle_2,0
Martina_Hingis_2,0,Martina_Hingis_3,0
Gary_Williams_1,0,Gary_Williams_2,0
Tom_Coverdale_1,0,Tom_Coverdale_2,0
Sam_Bith_1,0,Sam_Bith_3,0
Jimmy_Carter_1,0,Jimmy_Carter_3,0
William_Macy_2,0,William_Macy_3,0
Andre_Bucher_1,0,Andre_Bucher_2,0
Sam_Brownback_2,0,Sam_Brownback_3,0
Chris_Dodd_1,0,Chris_Dodd_2,0
Bill_Maher_1,0,Bill_Maher_3,0
Cecilia_Cheung_1,0,Cecilia_Cheung_2,0
Bob_Graham_1,0,Bob_Graham_3,0
Pascal_Affi_Nguessan_1,0,Pascal_Affi_Nguessan_2,0
Christian_Lacroix_2,0,Christian_Lacroix_3,0
Nina_Jacobson_1,0,Nina_Jacobson_2,0
Marlene_Weingartner_2,0,Marlene_Weingartner_3,0
Vincent_Brooks_2,0,Vincent_Brooks_3,0
Tom_Ridge_2,0,Tom_Ridge_3,0
Bill_Maher_2,0,Bill_Maher_3,0
Jeremy_Greenstock_1,0,Jeremy_Greenstock_2,0
Atom_Egoyan_1,0,Atom_Egoyan_3,0
Valentina_Tereshkova_1,0,Valentina_Tereshkova_3,0
Bill_Nelson_2,0,Bill_Nelson_3,0
Drew_Barrymore_2,0,Drew_Barrymore_3,0
Taylor_Twellman_1,0,Taylor_Twellman_3,0
Lindsey_Graham_2,0,Lindsey_Graham_3,0
Woody_Allen_2,0,Woody_Allen_3,0
Robbie_Coltrane_1,0,Robbie_Coltrane_3,0
Martin_Cauchon_2,0,Martin_Cauchon_3,0
Tom_Harkin_2,0,Tom_Harkin_3,0
Dai_Bachtiar_2,0,Dai_Bachtiar_3,0
Martin_Sheen_1,0,Martin_Sheen_3,0
Nong_Duc_Manh_1,0,Nong_Duc_Manh_3,0
Jamie_Dimon_1,0,Jamie_Dimon_2,0
Anna_Kournikova_1,0,Anna_Kournikova_3,0
Bode_Miller_1,0,Bode_Miller_3,0
Bryan_Murray_2,0,Bryan_Murray_3,0
Steve_Case_2,0,Steve_Case_3,0
Hanan_Ashrawi_1,0,Hanan_Ashrawi_2,0
Hugo_Conte_1,0,Hugo_Conte_3,0
Steve_Case_1,0,Steve_Case_2,0
Peter_Bacanovic_1,0,Peter_Bacanovic_2,0
Jelena_Dokic_1,0,Jelena_Dokic_3,0
Theresa_May_2,0,Theresa_May_3,0
Mohammad_Khatami_2,0,Mohammad_Khatami_3,0
Nicola_Wells_2,0,Nicola_Wells_3,0
Rick_Barnes_1,0,Rick_Barnes_3,0
Dany_Heatley_1,0,Dany_Heatley_3,0
Jennifer_Connelly_1,0,Jennifer_Connelly_3,0
Doug_Moe_1,0,Doug_Moe_2,0
Mitchell_Daniels_2,0,Mitchell_Daniels_3,0
Tony_Blair_1,0,Tony_Blair_3,0
Catherine_Bell_1,0,Catherine_Bell_3,0
Tippi_Hedren_2,0,Tippi_Hedren_3,0
Ed_Sullivan_1,0,Ed_Sullivan_2,0
Patricia_Wartusch_1,0,Patricia_Wartusch_3,0
Bill_Fennelly_1,0,Bill_Fennelly_3,0
Jesper_Parnevik_2,0,Jesper_Parnevik_3,0
James_McGreevey_2,0,James_McGreevey_3,0
Adolfo_Rodriguez_Saa_1,0,Adolfo_Rodriguez_Saa_2,0
Shane_Hmiel_2,0,Shane_Hmiel_3,0
Iveta_Benesova_1,0,Iveta_Benesova_3,0
Svetislav_Pesic_2,0,Svetislav_Pesic_3,0
Melissa_Joan_Hart_2,0,Melissa_Joan_Hart_3,0
Mario_Kreutzberger_2,0,Mario_Kreutzberger_3,0
Damon_Dash_1,0,Damon_Dash_2,0
Boris_Jordan_1,0,Boris_Jordan_3,0
Mike_Eskew_2,0,Mike_Eskew_3,0
Dwayne_Johnson_1,0,Dwayne_Johnson_2,0
Sandra_Bullock_1,0,Sandra_Bullock_2,0
Solomon_Passy_2,0,Solomon_Passy_3,0
Kimora_Lee_2,0,Kimora_Lee_3,0
Daniel_Radcliffe_2,0,Daniel_Radcliffe_3,0
Al_Sharpton_1,0,Al_Sharpton_3,0
Rod_Stewart_1,0,Rod_Stewart_3,0
Eve_Pelletier_1,0,Eve_Pelletier_2,0
Kate_Lee_1,0,Kate_Lee_2,0
Kathie_Louise_Saunders_1,0,Kathie_Louise_Saunders_2,0
Arturo_Gatti_1,0,Arturo_Gatti_2,0
Priscilla_Presley_2,0,Priscilla_Presley_3,0
Raul_Rivero_1,0,Raul_Rivero_3,0
Sheldon_Silver_1,0,Sheldon_Silver_3,0
Mary_Sue_Coleman_2,0,Mary_Sue_Coleman_3,0
Kenneth_Brill_1,0,Kenneth_Brill_3,0
Mehdi_Baala_1,0,Mehdi_Baala_3,0
Mohammad_Khatami_1,0,Mohammad_Khatami_2,0
Sally_Field_1,0,Sally_Field_3,0
Bob_Stoops_1,0,Bob_Stoops_3,0
Mike_Sherman_2,0,Mike_Sherman_3,0
Brett_Hawke_1,0,Brett_Hawke_3,0
Wang_Yingfan_1,0,Wang_Yingfan_3,0
Mikhail_Kalashnikov_1,0,Mikhail_Kalashnikov_2,0
Dusty_Baker_1,0,Dusty_Baker_3,0
Nelson_Mandela_1,0,Nelson_Mandela_3,0
Bill_Fennelly_2,0,Bill_Fennelly_3,0
Don_Flanagan_2,0,Don_Flanagan_3,0
Tippi_Hedren_1,0,Tippi_Hedren_2,0
Chanda_Rubin_1,0,Chanda_Rubin_2,0
Priscilla_Presley_1,0,Priscilla_Presley_3,0
Brennon_Leighton_1,0,Brennon_Leighton_2,0
Joe_Strummer_1,0,Joe_Strummer_2,0
Svetislav_Pesic_1,0,Svetislav_Pesic_2,0
Hu_Jintao_1,0,Hu_Jintao_2,0
Kenneth_Brill_1,0,Kenneth_Brill_2,0
Juljia_Vysotskij_1,0,Juljia_Vysotskij_2,0
Juergen_Trittin_1,0,Juergen_Trittin_3,0
Bode_Miller_1,0,Bode_Miller_2,0
Dianne_Feinstein_1,0,Dianne_Feinstein_2,0
Bob_Stoops_1,0,Bob_Stoops_2,0
Ed_Sullivan_1,0,Ed_Sullivan_3,0
Annette_Lu_1,0,Annette_Lu_3,0
Charles_Schumer_1,0,Charles_Schumer_3,0
Carey_Lowell_1,0,Carey_Lowell_2,0
Hayley_Tullett_1,0,Hayley_Tullett_3,0
Tom_DeLay_1,0,Tom_DeLay_3,0
Bill_Gates_1,0,Bill_Gates_2,0
Mary_Sue_Coleman_1,0,Mary_Sue_Coleman_2,0
Carolina_Barco_1,0,Carolina_Barco_3,0
Daniel_Radcliffe_1,0,Daniel_Radcliffe_3,0
Bill_Fennelly_1,0,Bill_Fennelly_2,0
Svetislav_Pesic_1,0,Svetislav_Pesic_3,0
Mary_Sue_Coleman_1,0,Mary_Sue_Coleman_3,0
Richard_Tubb_2,0,Richard_Tubb_3,0
Sally_Field_1,0,Sally_Field_2,0
Al_Sharpton_1,0,Al_Sharpton_2,0
Yevgeny_Kafelnikov_1,0,Yevgeny_Kafelnikov_3,0
Celso_Amorim_1,0,Celso_Amorim_2,0
Claire_Tomalin_1,0,Claire_Tomalin_2,0
Doug_Moe_2,0,Doug_Moe_3,0
Steven_Tyler_1,0,Steven_Tyler_3,0
Don_Flanagan_1,0,Don_Flanagan_2,0
Masao_Azuma_1,0,Masao_Azuma_2,0
