name_enroll,imagenum_enroll,name_verify,imagenum_verify
fumino_kimura,62,huang_xiaoming,11
li_na_tennis,9,hua_chenyu,26
jinny_ng,24,huang_xiaoming,11
zhou_xun,1,mark_dacascos,909
able_wanamakok,41,joo_jin_mo,38
ming_xi,67,daniel_henney,7
gong_seung_yeon,54,toma_ikuta,7
li_na_tennis,12,ron_yuan,62
ming_xi,62,mark_dacascos,909
sumetal,54,tony_jaa,24
lucy_liu,8,big_bang_g-dragon,13
lee_young_ae,27,kris_wu,56
momoe_yamaguchi,32,joo_jin_mo,20
moametal,49,brandon_soo_hoo,23
minori_chihara,19,steven_yeun,269
able_wanamakok,56,aaron_yoo,371
anna_maria_perez_de_tagle,93,shun_oguri,41
jun_hasegawa,34,jet_li,125
sumetal,56,steven_yeun,261
jinny_ng,49,kanata_hongo,43
xu_jinglei,34,cha_seung_won,52
moametal,43,craig_fong,60
gong_hyo_jin,37,jang_keun_suk,6
li_yuchun,6,will_yun_lee,79
shin_min_a,52,yannus_sufandi,7
tina_q_nguyen,56,jang_keun_suk,13
anna_tsuchiya,15,hua_chenyu,9
gong_seung_yeon,63,kris_wu,22
li_yuchun,18,ron_yuan,58
gong_seung_yeon,19,big_bang_g-dragon,28
ming_xi,24,big_bang_g-dragon,17
able_wanamakok,25,jack_ma,223
anna_maria_perez_de_tagle,82,kris_wu,48
puff_guo,13,teppei_koike,49
marmee_cosico,28,yoo_ah_in,18
fala_chen,69,jian,10
minori_chihara,46,cha_seung_won,33
puff_guo,50,shun_oguri,10
mika_nakashima,6,hiroki_narimiya,77
anna_tsuchiya,15,john_woo,17
maggie_q,210,shun_oguri,46
lucy_liu,13,jaejoong,46
li_na_tennis,56,kazuya_kamenashi,31
xu_jinglei,34,yoo_ah_in,28
fala_chen,63,teppei_koike,6
able_wanamakok,41,yoo_ah_in,15
maggie_q,193,aaron_yoo,371
sumetal,16,robin_shou,489
tina_q_nguyen,56,ji_chang_wook,42
moametal,2,jung_woo_sung,54
marmee_cosico,62,hiroki_narimiya,58
lucy_liu,38,bang_yong_guk,37
vivian_wu,12,yoo_ah_in,48
lee_young_ae,15,jet_li,56
lee_young_ae,62,toma_ikuta,48
fumino_kimura,7,chin_han,58
jinny_ng,55,jaejoong,6
lee_young_ae,27,yun-fat_chow,200
tila_tequila,939,steven_yeun,297
marmee_cosico,79,steven_yeun,261
able_wanamakok,42,craig_fong,60
tila_tequila,909,brandon_soo_hoo,23
lee_young_ae,22,yao_ming,19
gong_seung_yeon,49,tony_jaa,45
li_na_tennis,43,mark_dacascos,22
zhou_xun,53,bang_yong_guk,37
fumino_kimura,7,reggie_lee,62
ming_xi,62,lee_dong_hae,29
jun_hasegawa,56,yoo_ah_in,38
mika_nakashima,64,john_woo,9
moametal,34,young_man_kang,55
minori_chihara,44,aaron_yoo,45
xu_jinglei,15,lee_dong_hae,27
lucy_liu,4,toma_ikuta,74
maggie_q,18,ron_yuan,56
shin_min_a,62,yun-fat_chow,200
minori_chihara,52,tony_jaa,4
lee_young_ae,27,toma_ikuta,48
lee_young_ae,15,daniel_henney,42
marmee_cosico,62,hua_chenyu,40
aubrey_anderson-emmons,29,jian,6
maureen_mendoza,7,mark_dacascos,928
mika_nakashima,6,hua_chenyu,42
marmee_cosico,41,song_joong_ki,13
shin_min_a,7,yao_ming,9
marmee_cosico,63,reggie_lee,528
sumetal,55,sung_kang,52
sumetal,10,kazuya_kamenashi,47
xu_jinglei,11,ji_chang_wook,37
lee_jung_hyun,37,ye_liu,2
jinny_ng,49,chin_han,44
vivian_wu,13,shun_oguri,41
shin_min_a,60,john_woo,1
able_wanamakok,29,joo_jin_mo,45
gong_hyo_jin,53,daniel_henney,11
tina_q_nguyen,56,ji_chang_wook,16
xu_jinglei,12,big_bang_g-dragon,50
lee_jung_hyun,58,young_man_kang,49
maureen_mendoza,7,yoo_ah_in,21
tina_q_nguyen,56,jaejoong,63
maureen_mendoza,7,kazuya_kamenashi,31
lucy_liu,44,jack_ma,207
gong_seung_yeon,20,godfrey_gao,4
minori_chihara,36,will_yun_lee,510
lee_jung_hyun,33,shun_oguri,5
lee_young_ae,62,ji_chang_wook,46
mika_nakashima,21,ron_yuan,56
momoe_yamaguchi,32,yao_ming,17
moametal,11,jung_yong_hwa,38
ming_xi,48,lee_dong_hae,25
momoe_yamaguchi,38,hiroki_narimiya,74
li_yuchun,63,godfrey_gao,46
xu_jinglei,41,scott_takeda,922
anna_maria_perez_de_tagle,82,ron_yuan,53
maggie_q,18,craig_fong,58
mika_nakashima,3,lee_dong_hae,24
gong_hyo_jin,59,jaejoong,0
jinny_ng,49,mark_dacascos,915
fala_chen,63,robin_shou,97
jinny_ng,49,huang_xiaoming,68
shin_min_a,62,robin_shou,489
zhou_xun,38,scott_takeda,923
momoe_yamaguchi,32,chin_han,44
fala_chen,73,jung_yong_hwa,45
ming_xi,67,yoo_ah_in,27
zhou_xun,29,cha_seung_won,23
anna_tsuchiya,18,craig_fong,75
lucy_liu,71,park_ji_sung,8
li_na_tennis,9,huang_xiaoming,26
lee_jung_hyun,18,teppei_koike,45
anna_maria_perez_de_tagle,93,sung_kang,52
minori_chihara,49,yoo_ah_in,28
shin_min_a,62,kris_wu,56
aubrey_anderson-emmons,29,chanyeol,59
mika_nakashima,53,cha_seung_won,13
maureen_mendoza,28,jaejoong,46
shin_min_a,56,yun-fat_chow,50
anna_maria_perez_de_tagle,93,daniel_henney,6
moametal,34,ron_yuan,56
moametal,55,shun_oguri,64
mika_nakashima,21,park_ji_sung,40
minori_chihara,44,jack_ma,289
anna_maria_perez_de_tagle,93,yun-fat_chow,358
jun_hasegawa,8,hiroki_narimiya,26
ming_xi,31,young_man_kang,24
xu_jinglei,12,teppei_koike,45
maggie_q,240,kazuya_kamenashi,52
lee_jung_hyun,37,lee_joon-gi,26
gong_seung_yeon,54,young_man_kang,30
maureen_mendoza,6,ryosuke_yamada,50
lee_jung_hyun,18,tony_chiu_wai_leung,28
tila_tequila,946,daniel_henney,7
tina_q_nguyen,56,huang_xiaoming,17
gong_hyo_jin,20,huang_xiaoming,12
moametal,2,john_woo,19
aubrey_anderson-emmons,33,sung_kang,52
jun_hasegawa,56,jian,53
zhou_xun,44,brandon_soo_hoo,17
able_wanamakok,25,ryosuke_yamada,50
sumetal,13,park_ji_sung,16
ming_xi,17,steven_yeun,297
zhou_xun,1,daniel_henney,37
maggie_q,281,tony_jaa,22
tila_tequila,939,jet_li,56
mika_nakashima,6,lee_joon-gi,24
able_wanamakok,15,joo_jin_mo,55
able_wanamakok,12,big_bang_g-dragon,46
anna_maria_perez_de_tagle,82,kazuya_kamenashi,15
li_yuchun,32,young_man_kang,12
vivian_wu,13,cha_seung_won,44
sumetal,12,daniel_henney,42
li_na_tennis,26,godfrey_gao,11
gong_seung_yeon,54,park_ji_sung,50
fala_chen,63,teppei_koike,49
xu_jinglei,34,big_bang_g-dragon,28
xu_jinglei,16,jung_yong_hwa,29
xu_jinglei,58,lee_dong_hae,57
li_yuchun,3,robin_shou,97
lucy_liu,48,brandon_soo_hoo,16
anna_tsuchiya,44,brandon_soo_hoo,22
momoe_yamaguchi,38,kanata_hongo,32
gong_seung_yeon,22,ron_yuan,56
shin_min_a,34,yannus_sufandi,55
jinny_ng,24,yannus_sufandi,16
anna_tsuchiya,42,chin_han,69
shin_min_a,61,cha_seung_won,44
momoe_yamaguchi,38,shun_oguri,79
xu_jinglei,58,yannus_sufandi,16
ming_xi,55,chin_han,6
momoe_yamaguchi,38,ye_liu,2
marmee_cosico,63,shun_oguri,70
lee_jung_hyun,10,ron_yuan,56
maureen_mendoza,6,steven_yeun,297
minori_chihara,36,lee_joon-gi,24
ming_xi,40,jack_ma,422
jinny_ng,48,brandon_soo_hoo,23
anna_tsuchiya,19,song_joong_ki,56
anna_tsuchiya,31,jung_yong_hwa,13
shin_min_a,7,chin_han,6
tila_tequila,939,bang_yong_guk,44
momoe_yamaguchi,42,cha_seung_won,53
jun_hasegawa,50,big_bang_g-dragon,48
lee_jung_hyun,51,lee_joon-gi,26
sumetal,1,steven_yeun,261
gong_hyo_jin,0,mark_dacascos,960
xu_jinglei,11,lee_dong_hae,27
li_yuchun,52,jack_ma,207
anna_maria_perez_de_tagle,93,godfrey_gao,38
jun_hasegawa,34,hua_chenyu,34
sumetal,13,ron_yuan,58
minori_chihara,36,lee_joon-gi,24
aubrey_anderson-emmons,14,ye_liu,29
able_wanamakok,15,chanyeol,36
moametal,43,bang_yong_guk,43
vivian_wu,13,yao_ming,38
fumino_kimura,21,teppei_koike,32
li_na_tennis,12,steven_yeun,261
li_na_tennis,7,daniel_henney,8
gong_seung_yeon,22,jian,10
jinny_ng,48,yao_ming,36
maggie_q,193,lee_joon-gi,24
fala_chen,73,yao_ming,4
marmee_cosico,28,craig_fong,78
able_wanamakok,12,huang_xiaoming,22
li_na_tennis,35,yannus_sufandi,7
lee_young_ae,9,steven_yeun,261
puff_guo,36,jung_yong_hwa,13
moametal,34,lee_joon-gi,26
xu_jinglei,16,ye_liu,29
marmee_cosico,79,ryosuke_yamada,50
jun_hasegawa,68,jung_woo_sung,15
ming_xi,40,ryosuke_yamada,50
puff_guo,9,jack_ma,422
aubrey_anderson-emmons,2,robin_shou,97
shin_min_a,41,daniel_henney,56
fumino_kimura,22,tony_chiu_wai_leung,28
fumino_kimura,62,yao_ming,36
lucy_liu,38,joo_jin_mo,16
shin_min_a,62,jack_ma,422
maggie_q,210,brandon_soo_hoo,22
jun_hasegawa,8,jian,27
momoe_yamaguchi,38,john_woo,16
lee_young_ae,15,huang_xiaoming,9
aubrey_anderson-emmons,15,huang_xiaoming,37
ming_xi,62,big_bang_g-dragon,35
anna_maria_perez_de_tagle,93,hiroki_narimiya,55
ming_xi,26,craig_fong,19
able_wanamakok,41,yannus_sufandi,7
maggie_q,240,shun_oguri,46
mika_nakashima,37,lee_dong_hae,63
lee_young_ae,20,yoo_ah_in,44
li_na_tennis,3,aaron_yoo,106
tila_tequila,950,yun-fat_chow,50
lee_jung_hyun,52,robin_shou,489
fala_chen,69,robin_shou,97
lucy_liu,48,jack_ma,223
fumino_kimura,62,kris_wu,52
tina_q_nguyen,56,jung_yong_hwa,33
fala_chen,69,jet_li,125
mika_nakashima,66,reggie_lee,41
fumino_kimura,49,hiroki_narimiya,55
lee_jung_hyun,24,cha_seung_won,44
vivian_wu,11,toma_ikuta,74
ming_xi,9,hiroki_narimiya,5
mika_nakashima,67,chin_han,25
lee_young_ae,51,yao_ming,5
tina_q_nguyen,56,john_woo,9
ming_xi,9,robin_shou,489
gong_seung_yeon,63,ron_yuan,31
zhou_xun,36,lee_joon-gi,26
anna_maria_perez_de_tagle,82,cha_seung_won,29
jinny_ng,48,shun_oguri,35
tila_tequila,924,robin_shou,489
tila_tequila,964,jaejoong,56
ming_xi,26,daniel_henney,48
anna_tsuchiya,19,aaron_yoo,45
aubrey_anderson-emmons,1,scott_takeda,904
moametal,49,john_woo,19
jun_hasegawa,49,bang_yong_guk,1
sumetal,55,yoo_ah_in,21
sumetal,28,chin_han,58
jinny_ng,20,sung_kang,52
shin_min_a,22,brandon_soo_hoo,22
li_yuchun,63,toma_ikuta,22
lucy_liu,44,aaron_yoo,17
able_wanamakok,27,tony_jaa,4
anna_maria_perez_de_tagle,82,yun-fat_chow,200
sumetal,51,chin_han,69
