name_enroll,imagenum_enroll,name_verify,imagenum_verify
able_wanamakok,15,able_wanamakok,25
able_wanamakok,15,able_wanamakok,41
able_wanamakok,27,able_wanamakok,41
able_wanamakok,12,able_wanamakok,24
able_wanamakok,15,able_wanamakok,56
able_wanamakok,12,able_wanamakok,15
able_wanamakok,24,able_wanamakok,42
able_wanamakok,25,able_wanamakok,41
able_wanamakok,12,able_wanamakok,27
able_wanamakok,7,able_wanamakok,25
anna_maria_perez_de_tagle,82,anna_maria_perez_de_tagle,93
anna_tsuchiya,19,anna_tsuchiya,50
anna_tsuchiya,15,anna_tsuchiya,44
anna_tsuchiya,3,anna_tsuchiya,19
anna_tsuchiya,1,anna_tsuchiya,50
anna_tsuchiya,5,anna_tsuchiya,15
anna_tsuchiya,15,anna_tsuchiya,42
anna_tsuchiya,1,anna_tsuchiya,5
anna_tsuchiya,1,anna_tsuchiya,3
anna_tsuchiya,3,anna_tsuchiya,42
anna_tsuchiya,1,anna_tsuchiya,18
aubrey_anderson-emmons,1,aubrey_anderson-emmons,2
aubrey_anderson-emmons,14,aubrey_anderson-emmons,29
aubrey_anderson-emmons,15,aubrey_anderson-emmons,29
aubrey_anderson-emmons,1,aubrey_anderson-emmons,33
aubrey_anderson-emmons,2,aubrey_anderson-emmons,33
aubrey_anderson-emmons,1,aubrey_anderson-emmons,15
aubrey_anderson-emmons,1,aubrey_anderson-emmons,14
aubrey_anderson-emmons,15,aubrey_anderson-emmons,33
aubrey_anderson-emmons,2,aubrey_anderson-emmons,15
aubrey_anderson-emmons,2,aubrey_anderson-emmons,29
fala_chen,62,fala_chen,63
fala_chen,62,fala_chen,69
fala_chen,62,fala_chen,73
fala_chen,63,fala_chen,69
fala_chen,63,fala_chen,73
fala_chen,69,fala_chen,73
fumino_kimura,7,fumino_kimura,21
fumino_kimura,22,fumino_kimura,61
fumino_kimura,16,fumino_kimura,49
fumino_kimura,47,fumino_kimura,49
fumino_kimura,16,fumino_kimura,28
fumino_kimura,22,fumino_kimura,62
fumino_kimura,55,fumino_kimura,62
fumino_kimura,28,fumino_kimura,55
fumino_kimura,49,fumino_kimura,54
fumino_kimura,16,fumino_kimura,61
gong_hyo_jin,25,gong_hyo_jin,57
gong_hyo_jin,23,gong_hyo_jin,26
gong_hyo_jin,25,gong_hyo_jin,26
gong_hyo_jin,17,gong_hyo_jin,57
gong_hyo_jin,8,gong_hyo_jin,59
gong_hyo_jin,8,gong_hyo_jin,37
gong_hyo_jin,37,gong_hyo_jin,59
gong_hyo_jin,20,gong_hyo_jin,23
gong_hyo_jin,30,gong_hyo_jin,59
gong_hyo_jin,56,gong_hyo_jin,59
gong_seung_yeon,24,gong_seung_yeon,39
gong_seung_yeon,12,gong_seung_yeon,36
gong_seung_yeon,52,gong_seung_yeon,57
gong_seung_yeon,22,gong_seung_yeon,49
gong_seung_yeon,20,gong_seung_yeon,49
gong_seung_yeon,22,gong_seung_yeon,52
gong_seung_yeon,22,gong_seung_yeon,25
gong_seung_yeon,36,gong_seung_yeon,57
gong_seung_yeon,27,gong_seung_yeon,49
gong_seung_yeon,39,gong_seung_yeon,54
jinny_ng,24,jinny_ng,48
jinny_ng,48,jinny_ng,49
jinny_ng,20,jinny_ng,49
jinny_ng,30,jinny_ng,48
jinny_ng,27,jinny_ng,55
jinny_ng,20,jinny_ng,55
jinny_ng,20,jinny_ng,27
jinny_ng,20,jinny_ng,24
jinny_ng,48,jinny_ng,55
jinny_ng,24,jinny_ng,55
jun_hasegawa,31,jun_hasegawa,68
jun_hasegawa,49,jun_hasegawa,50
jun_hasegawa,31,jun_hasegawa,39
jun_hasegawa,18,jun_hasegawa,56
jun_hasegawa,8,jun_hasegawa,56
jun_hasegawa,8,jun_hasegawa,50
jun_hasegawa,39,jun_hasegawa,68
jun_hasegawa,49,jun_hasegawa,52
jun_hasegawa,39,jun_hasegawa,50
jun_hasegawa,50,jun_hasegawa,52
lee_jung_hyun,52,lee_jung_hyun,58
lee_jung_hyun,10,lee_jung_hyun,37
lee_jung_hyun,37,lee_jung_hyun,52
lee_jung_hyun,2,lee_jung_hyun,52
lee_jung_hyun,2,lee_jung_hyun,13
lee_jung_hyun,10,lee_jung_hyun,18
lee_jung_hyun,37,lee_jung_hyun,58
lee_jung_hyun,51,lee_jung_hyun,58
lee_jung_hyun,18,lee_jung_hyun,51
lee_jung_hyun,10,lee_jung_hyun,13
lee_young_ae,25,lee_young_ae,60
lee_young_ae,15,lee_young_ae,59
lee_young_ae,51,lee_young_ae,56
lee_young_ae,5,lee_young_ae,60
lee_young_ae,25,lee_young_ae,62
lee_young_ae,5,lee_young_ae,45
lee_young_ae,2,lee_young_ae,25
lee_young_ae,27,lee_young_ae,56
lee_young_ae,9,lee_young_ae,20
lee_young_ae,59,lee_young_ae,60
li_na_tennis,28,li_na_tennis,53
li_na_tennis,26,li_na_tennis,53
li_na_tennis,22,li_na_tennis,56
li_na_tennis,36,li_na_tennis,43
li_na_tennis,7,li_na_tennis,43
li_na_tennis,10,li_na_tennis,22
