verify_identity,verify_cache_filename,enroll_identity,enroll_cache_filenames,k_actual
able_wanamakok,able_wanamakok_0007.npy,bang_yong_guk,bang_yong_guk_0020.npy;bang_yong_guk_0043.npy;bang_yong_guk_0010.npy;bang_yong_guk_0044.npy;bang_yong_guk_0004.npy,5
able_wanamakok,able_wanamakok_0012.npy,trina_mcgee,trina_mcgee_0020.npy,1
able_wanamakok,able_wanamakok_0015.npy,shane_west,shane_west_0160.npy;shane_west_0031.npy;shane_west_0141.npy;shane_west_0008.npy;shane_west_0086.npy,5
able_wanamakok,able_wanamakok_0024.npy,yao_ming,yao_ming_0005.npy;yao_ming_0001.npy;yao_ming_0038.npy;yao_ming_0007.npy;yao_ming_0012.npy,5
able_wanamakok,able_wanamakok_0025.npy,rene_russo,rene_russo_0052.npy;rene_russo_0070.npy;rene_russo_0077.npy;rene_russo_0117.npy,4
able_wanamakok,able_wanamakok_0027.npy,david_strathairn,david_strathairn_0070.npy;david_strathairn_0102.npy;david_strathairn_0062.npy;david_strathairn_0065.npy;david_strathairn_0075.npy,5
able_wanamakok,able_wanamakok_0029.npy,andre_braugher,andre_braugher_0013.npy;andre_braugher_0001.npy;andre_braugher_0021.npy;andre_braugher_0085.npy;andre_braugher_0066.npy,5
able_wanamakok,able_wanamakok_0041.npy,patrick_dempsey,patrick_dempsey_0358.npy;patrick_dempsey_0001.npy;patrick_dempsey_0292.npy;patrick_dempsey_0204.npy;patrick_dempsey_0305.npy,5
able_wanamakok,able_wanamakok_0042.npy,vivian_wu,vivian_wu_0011.npy;vivian_wu_0012.npy;vivian_wu_0013.npy,3
able_wanamakok,able_wanamakok_0056.npy,hua_chenyu,hua_chenyu_0030.npy;hua_chenyu_0040.npy;hua_chenyu_0029.npy;hua_chenyu_0010.npy;hua_chenyu_0031.npy,5
anna_tsuchiya,anna_tsuchiya_0001.npy,christa_b_allen,christa_b_allen_0002.npy;christa_b_allen_0019.npy;christa_b_allen_0058.npy,3
anna_tsuchiya,anna_tsuchiya_0003.npy,russ_cootey,russ_cootey_0010.npy;russ_cootey_0048.npy,2
anna_tsuchiya,anna_tsuchiya_0005.npy,robert_englund,robert_englund_0018.npy;robert_englund_0019.npy;robert_englund_0026.npy,3
anna_tsuchiya,anna_tsuchiya_0015.npy,jang_keun_suk,jang_keun_suk_0028.npy;jang_keun_suk_0052.npy;jang_keun_suk_0012.npy;jang_keun_suk_0013.npy;jang_keun_suk_0007.npy,5
anna_tsuchiya,anna_tsuchiya_0018.npy,dylan_mcdermott,dylan_mcdermott_0155.npy;dylan_mcdermott_0137.npy;dylan_mcdermott_0035.npy;dylan_mcdermott_0083.npy;dylan_mcdermott_0055.npy,5
anna_tsuchiya,anna_tsuchiya_0019.npy,jang_keun_suk,jang_keun_suk_0013.npy;jang_keun_suk_0049.npy;jang_keun_suk_0007.npy;jang_keun_suk_0026.npy;jang_keun_suk_0051.npy,5
