name_enroll,imagenum_enroll,name_verify,imagenum_verify,is_genuine
Abdullah_Gul,13,Abdullah_Gul,14,1
Abdullah_Gul,13,Abdullah_Gul,16,1
Abdullatif_Sener,1,Abdullatif_Sener,2,1
Adel_Al-Jubeir,1,Adel_Al-Jubeir,3,1
Al_Pacino,1,Al_Pacino,2,1
Alan_Greenspan,1,Alan_Greenspan,5,1
Albert_Costa,2,Albert_Costa,6,1
Albert_Costa,4,Albert_Costa,6,1
Alejandro_Atchugarry,1,Alejandro_Atchugarry,2,1
Alex_Penelas,1,Alex_Penelas,2,1
Allison_Janney,1,Allison_Janney,2,1
Allyson_Felix,2,Allyson_Felix,5,1
Alvaro_Uribe,7,Alvaro_Uribe,10,1
Alvaro_Uribe,17,Alvaro_Uribe,26,1
Amanda_Bynes,1,Amanda_Bynes,2,1
Amanda_Bynes,1,Amanda_Bynes,3,1
Amanda_Bynes,1,Amanda_Bynes,4,1
Amanda_Bynes,3,Amanda_Bynes,4,1
Ana_Palacio,1,Ana_Palacio,6,1
Andrei_Mikhnevich,1,Andrei_Mikhnevich,2,1
Andy_Hebb,1,Andy_Hebb,2,1
Angelo_Reyes,1,Angelo_Reyes,2,1
Ann_Veneman,1,Ann_Veneman,2,1
Ann_Veneman,5,Ann_Veneman,11,1
Ann_Veneman,8,Ann_Veneman,9,1
Anna_Nicole_Smith,1,Anna_Nicole_Smith,2,1
Anne_Krueger,1,Anne_Krueger,2,1
Annette_Lu,1,Annette_Lu,2,1
Annette_Lu,1,Annette_Lu,3,1
Annette_Lu,2,Annette_Lu,3,1
Antonio_Palocci,3,Antonio_Palocci,8,1
Antonio_Trillanes,1,Antonio_Trillanes,2,1
Antonio_Trillanes,2,Antonio_Trillanes,3,1
Augustin_Calleri,1,Augustin_Calleri,3,1
Augustin_Calleri,1,Augustin_Calleri,4,1
Barbara_Brezigar,1,Barbara_Brezigar,2,1
Begum_Khaleda_Zia,1,Begum_Khaleda_Zia,2,1
Ben_Affleck,1,Ben_Affleck,3,1
Ben_Affleck,2,Ben_Affleck,6,1
Ben_Affleck,3,Ben_Affleck,6,1
Bertie_Ahern,2,Bertie_Ahern,3,1
Bill_Frist,1,Bill_Frist,3,1
Bill_Frist,2,Bill_Frist,7,1
Bill_Frist,3,Bill_Frist,8,1
Bill_McBride,2,Bill_McBride,6,1
Bill_McBride,2,Bill_McBride,10,1
Bill_McBride,3,Bill_McBride,9,1
Bill_Sizemore,1,Bill_Sizemore,2,1
Bono,1,Bono,2,1
Bono,1,Bono,3,1
Bono,2,Bono,3,1
Brian_Cowen,1,Brian_Cowen,2,1
Bridget_Fonda,1,Bridget_Fonda,3,1
Bridgette_Wilson-Sampras,1,Bridgette_Wilson-Sampras,2,1
Calista_Flockhart,2,Calista_Flockhart,6,1
Candice_Bergen,1,Candice_Bergen,3,1
Carla_Del_Ponte,2,Carla_Del_Ponte,4,1
Carlos_Manuel_Pruneda,1,Carlos_Manuel_Pruneda,2,1
Carlos_Manuel_Pruneda,1,Carlos_Manuel_Pruneda,3,1
Carlos_Manuel_Pruneda,2,Carlos_Manuel_Pruneda,3,1
Carlos_Moya,7,Carlos_Moya,11,1
Carlos_Ortega,1,Carlos_Ortega,3,1
Carolyn_Dawn_Johnson,2,Carolyn_Dawn_Johnson,3,1
Carrie-Anne_Moss,2,Carrie-Anne_Moss,5,1
Carson_Daly,1,Carson_Daly,2,1
Chanda_Rubin,2,Chanda_Rubin,4,1
Chang_Dae-whan,1,Chang_Dae-whan,2,1
Charles_Taylor,3,Charles_Taylor,9,1
Chok_Tong_Goh,1,Chok_Tong_Goh,2,1
Chris_Bell,1,Chris_Bell,2,1
Chris_Byrd,1,Chris_Byrd,2,1
Christian_Longo,1,Christian_Longo,3,1
Christian_Longo,2,Christian_Longo,3,1
Christian_Wulff,1,Christian_Wulff,2,1
Christine_Ebersole,1,Christine_Ebersole,2,1
Christine_Todd_Whitman,5,Christine_Todd_Whitman,6,1
Christopher_Reeve,1,Christopher_Reeve,4,1
Claire_Leger,1,Claire_Leger,2,1
Condoleezza_Rice,2,Condoleezza_Rice,5,1
Condoleezza_Rice,7,Condoleezza_Rice,10,1
Cristina_Fernandez,1,Cristina_Fernandez,2,1
Dai_Bachtiar,1,Dai_Bachtiar,2,1
Daisy_Fuentes,3,Daisy_Fuentes,4,1
Dave_Campo,1,Dave_Campo,2,1
Dave_Campo,2,Dave_Campo,3,1
David_Stern,1,David_Stern,4,1
David_Stern,3,David_Stern,4,1
Denise_Johnson,1,Denise_Johnson,2,1
Denzel_Washington,1,Denzel_Washington,3,1
Denzel_Washington,2,Denzel_Washington,4,1
Denzel_Washington,2,Denzel_Washington,5,1
Derek_Jeter,2,Derek_Jeter,3,1
Diane_Green,1,Diane_Green,2,1
Dick_Clark,1,Dick_Clark,2,1
Dick_Clark,1,Dick_Clark,3,1
Dick_Clark,2,Dick_Clark,3,1
Dick_Vermeil,1,Dick_Vermeil,2,1
Dominique_de_Villepin,3,Dominique_de_Villepin,5,1
Dominique_de_Villepin,14,Dominique_de_Villepin,15,1
Donald_Pettit,1,Donald_Pettit,2,1
Donald_Pettit,2,Donald_Pettit,3,1
Donald_Rumsfeld,22,Donald_Rumsfeld,36,1
Donald_Rumsfeld,28,Donald_Rumsfeld,108,1
Doug_Collins,1,Doug_Collins,2,1
Edward_Lu,2,Edward_Lu,4,1
Edward_Norton,1,Edward_Norton,2,1
Edwin_Edwards,1,Edwin_Edwards,2,1
Edwin_Edwards,2,Edwin_Edwards,3,1
Eliane_Karp,2,Eliane_Karp,3,1
Elin_Nordegren,1,Elin_Nordegren,2,1
Elinor_Caplan,1,Elinor_Caplan,2,1
Elisabeth_Schumacher,1,Elisabeth_Schumacher,2,1
Elsa_Zylberstein,1,Elsa_Zylberstein,2,1
