name_enroll,imagenum_enroll,name_verify,imagenum_verify,is_genuine
AJ_Lamas,1,Zach_Safrin,1,0
Aaron_Guiel,1,Reese_Witherspoon,3,0
Aaron_Tippin,1,Jose_Luis_Rodriguez_Zapatero,1,0
Abdul_Majeed_Shobokshi,1,Charles_Cope,1,0
Abdullah_Gul,16,Steve_Cox,1,0
Adam_Kennedy,1,Amelie_Mauresmo,19,0
Adel_Al-Jubeir,1,Elisabeth_Welch,1,0
Adrian_Murrell,1,Tommy_Franks,15,0
Adriana_Lima,1,Terrence_Trammell,1,0
Adriana_Perez_Navarro,1,Jennifer_Capriati,8,0
Agbani_Darego,1,Malik_Mahmud,1,0
Ahmed_Ghazi,1,Henry_Suazo,1,0
Aileen_Riggin_Soule,1,Damarius_Bilbo,1,0
Ain_Seppik,1,Donald_Regan,1,0
Aitor_Gonzalez,1,Lily_Tomlin,2,0
Al_Cardenas,1,Mary_Landrieu,3,0
Al_Davis,2,Dennis_Powell,1,0
Al_Pacino,1,Izzat_Ibrahim,1,0
Aleksander_Voloshin,1,Ashlea_Talbot,1,0
Alex_Cabrera,1,Richard_Carl,1,0
Alex_Corretja,1,Newt_Gingrich,1,0
Alex_Corretja,1,Tippi_Hedren,2,0
Alexandra_Rozovskaya,1,Don_King,1,0
Ali_Fallahian,1,Mohammed_Abulhasan,1,0
Alicia_Keys,1,Giannina_Facio,1,0
Alicia_Molik,1,Lena_Katina,1,0
Aline_Chretien,1,Carlos_Iturgaitz,1,0
Allison_Searing,1,Amy_Gale,1,0
Allison_Searing,1,Mark_Martin,1,0
Allison_Searing,1,Warren_Beatty,1,0
Amelie_Mauresmo,6,Terri_Clark,1,0
Amporn_Falise,1,Christiane_Wulff,1,0
Amporn_Falise,1,Liza_Minnelli,2,0
Amporn_Falise,1,Zhang_Yimou,1,0
Amy_Gale,1,Frank_Murkowski,1,0
Ana_Palacio,5,Erika_Christensen,2,0
Ana_Palacio,6,Robert_Gordon_Card,1,0
Andrew_Caldecott,1,Joe_Strummer,1,0
Andrew_Shutley,1,Charles_Taylor,7,0
Andrew_Wetzler,1,Cristina_Torrens_Valero,1,0
Angela_Mascia-Frye,1,Derrick_Taylor,1,0
Ann_Godbehere,1,Paul_Newman,1,0
Ann_Godbehere,1,Tatiana_Kennedy_Schlossberg,1,0
Anna_Chicherova,1,Bob_Iger,1,0
Anna_Nicole_Smith,1,Tony_Shalhoub,4,0
Anne_McLellan,2,Richard_Penniman,1,0
Anne_McLellan,2,Roman_Tam,1,0
Annette_Lu,1,Svetlana_Belousova,1,0
Annie_Chaplin,1,Gloria_Gaynor,1,0
Annie_Chaplin,1,Ion_Tiriac,1,0
Annie_Chaplin,1,Michael_Keaton,1,0
Antonio_Palocci,4,Donald_Regan,1,0
