name_enroll,imagenum_enroll,name_verify,imagenum_verify,is_genuine
Aaron_Peirsol,1,Aaron_Peirsol,2,1
Aaron_Peirsol,3,Aaron_Peirsol,4,1
Aaron_Sorkin,1,Aaron_Sorkin,2,1
Abdel_Nasser_Assidi,1,Abdel_Nasser_Assidi,2,1
Abdullah,1,Abdullah,3,1
Abdullah,2,Abdullah,4,1
Abdullah_al-Attiyah,1,Abdullah_al-Attiyah,3,1
Abdullah_al-Attiyah,2,Abdullah_al-Attiyah,3,1
Adam_Sandler,1,Adam_Sandler,3,1
Adam_Sandler,1,Adam_Sandler,4,1
Adam_Sandler,2,Adam_Sandler,4,1
Adam_Scott,1,Adam_Scott,2,1
Adolfo_Aguilar_Zinser,1,Adolfo_Aguilar_Zinser,3,1
Ai_Sugiyama,2,Ai_Sugiyama,4,1
Aicha_El_Ouafi,1,Aicha_El_Ouafi,3,1
Aicha_El_Ouafi,2,Aicha_El_Ouafi,3,1
Akbar_Hashemi_Rafsanjani,1,Akbar_Hashemi_Rafsanjani,3,1
Akhmed_Zakayev,1,Akhmed_Zakayev,3,1
Akhmed_Zakayev,2,Akhmed_Zakayev,3,1
Al_Gore,1,Al_Gore,3,1
Alan_Ball,1,Alan_Ball,2,1
Alberto_Fujimori,1,Alberto_Fujimori,2,1
Alberto_Ruiz_Gallardon,1,Alberto_Ruiz_Gallardon,2,1
Albrecht_Mentz,1,Albrecht_Mentz,2,1
Alec_Baldwin,1,Alec_Baldwin,2,1
Alec_Baldwin,1,Alec_Baldwin,4,1
Alec_Baldwin,2,Alec_Baldwin,3,1
Alec_Baldwin,3,Alec_Baldwin,4,1
Alejandro_Toledo,20,Alejandro_Toledo,38,1
Alex_Sink,2,Alex_Sink,3,1
Alexandra_Stevenson,1,Alexandra_Stevenson,2,1
Alexandra_Stevenson,1,Alexandra_Stevenson,3,1
Alexandra_Vodjanikova,1,Alexandra_Vodjanikova,2,1
Ali_Abbas,1,Ali_Abbas,2,1
Ali_Khamenei,1,Ali_Khamenei,2,1
Alice_Fisher,1,Alice_Fisher,2,1
Alicia_Silverstone,1,Alicia_Silverstone,2,1
Alimzhan_Tokhtakhounov,1,Alimzhan_Tokhtakhounov,2,1
Alison_Lohman,1,Alison_Lohman,2,1
Alvaro_Noboa,1,Alvaro_Noboa,2,1
Alvaro_Noboa,2,Alvaro_Noboa,3,1
Amanda_Beard,1,Amanda_Beard,2,1
Amelia_Vega,2,Amelia_Vega,4,1
Amelia_Vega,5,Amelia_Vega,7,1
Amelia_Vega,6,Amelia_Vega,7,1
Ana_Guevara,1,Ana_Guevara,5,1
Anastasia_Myskina,1,Anastasia_Myskina,2,1
Anastasia_Myskina,2,Anastasia_Myskina,3,1
Anders_Fogh_Rasmussen,3,Anders_Fogh_Rasmussen,4,1
Andre_Agassi,9,Andre_Agassi,18,1
Andrew_Weissmann,1,Andrew_Weissmann,3,1
Andy_Roddick,3,Andy_Roddick,15,1
Andy_Roddick,9,Andy_Roddick,14,1
Andy_Roddick,12,Andy_Roddick,15,1
Angela_Bassett,2,Angela_Bassett,6,1
Angelina_Jolie,3,Angelina_Jolie,15,1
Angelina_Jolie,4,Angelina_Jolie,16,1
Angelina_Jolie,8,Angelina_Jolie,15,1
Anibal_Ibarra,2,Anibal_Ibarra,3,1
Anna_Kournikova,5,Anna_Kournikova,9,1
Anthony_Hopkins,1,Anthony_Hopkins,2,1
Antonio_Banderas,2,Antonio_Banderas,3,1
Antonio_Banderas,2,Antonio_Banderas,4,1
Antony_Leung,2,Antony_Leung,3,1
Arantxa_Sanchez-Vicario,1,Arantxa_Sanchez-Vicario,2,1
Ari_Fleischer,4,Ari_Fleischer,6,1
Arianna_Huffington,1,Arianna_Huffington,2,1
Arianna_Huffington,2,Arianna_Huffington,3,1
Arnold_Palmer,1,Arnold_Palmer,2,1
Arnold_Palmer,1,Arnold_Palmer,3,1
