name_enroll,imagenum_enroll,name_verify,imagenum_verify,is_genuine
AJ_Cook,1,Marsha_Thomason,1,0
Aaron_Sorkin,2,Frank_Solich,5,0
Abdel_Nasser_Assidi,2,Hilary_McKay,1,0
Abdul_Rahman,1,Magui_Serna,1,0
Abdullah,1,Dwain_Kyles,1,0
Abner_Martinez,1,Aidan_Quinn,1,0
Abner_Martinez,1,Andre_Techine,1,0
Aby_Har-Even,1,Ricardo_Lopez_Murphy,2,0
Adolfo_Aguilar_Zinser,3,Soon_Yi,1,0
Adolfo_Rodriguez_Saa,1,Catherine_Deneuve,2,0
Adrian_Nastase,2,Ham_Pong-sil,1,0
Afton_Smith,1,Marcos_Cafu,1,0
Afton_Smith,1,Mario_Lobo_Zagallo,1,0
Ahmed_Ahmed,1,David_Canary,1,0
Ahmed_Ibrahim_Bilal,1,Audrey_Lacroix,1,0
Ahmed_Ibrahim_Bilal,1,Eric_Christian_Olsen,1,0
Ahmed_Ibrahim_Bilal,1,Paul_Wilson,1,0
Ahmed_Ibrahim_Bilal,1,Rolf_Zimmermann,1,0
Ahmed_Lopez,1,Ray_Morrough,1,0
Ahmet_Demir,1,Karen_Lynn_Gorney,1,0
Ainsworth_Dyer,1,Mary_Sue_Coleman,1,0
Aishwarya_Rai,1,Lorne_Michaels,1,0
Aiysha_Smith,1,Elijan_Ingram,1,0
Akbar_Al_Baker,1,Louisa_Baileche,1,0
Akmal_Taher,1,Deena_Burnett,1,0
Al_Gore,6,Jeff_Weaver,1,0
Alain_Ducasse,1,Flavia_Delaroli,1,0
Alan_Jackson,1,Geoff_Dixon,1,0
Alan_Jackson,1,Peter_Albertsen,1,0
Alan_Trammell,1,Lin_Yung_Hsi,1,0
Albert_Brooks,1,Alexander_Downer,1,0
Albert_Brooks,1,Jim_Hendry,1,0
Alberto_Acosta,1,Manuel_Rosendo,1,0
Alberto_Gonzales,1,Li_Changchun,1,0
Alberto_Gonzales,1,Tina_Pisnik,1,0
Alec_Baldwin,3,Guy_Ritchie,1,0
Alec_Baldwin,3,Molly_Sims,1,0
Alejandro_Lopez,1,Urmila_Matondkar,1,0
Alejandro_Toledo,24,Dianne_Feinstein,2,0
Alex_Holmes,1,Muhammad_Ibrahim_Bilal,1,0
Alex_King,1,Dennis_Erickson,1,0
Alex_King,1,Lynne_Thigpen,1,0
Alex_Wallau,1,Richard_Krajicek,1,0
Alexa_Loren,1,MC_Hammer,1,0
Alexander_Lukashenko,1,Richard_Haass,1,0
Alexander_Payne,1,Patrice_Chereau,1,0
Alexandre_Vinokourov,1,Bill_Rainer,1,0
Alfonso_Cuaron,1,Marcos_Milinkovic,1,0
Alfredo_Moreno,1,Dwayne_Wade,1,0
Alfredo_Moreno,1,Shane_Reynolds,1,0
Alfredo_di_Stefano,1,Robert_Pollack,1,0
Ali_Hammoud,1,Geoffrey_Rush,1,0
Alicia_Silverstone,1,Michael_Doleac,1,0
Alina_Kabaeva,1,Amanda_Plumer,1,0
Alison_Lohman,1,Lyudmila_Putin,1,0
Allan_Houston,1,Marwan_Muasher,1,0
Allen_Iverson,1,Steven_Spielberg,7,0
Ally_Sheedy,1,Pedro_Velasquez,1,0
Alvaro_Silva_Calderon,3,Toni_Jennings,1,0
Aly_Wagner,1,John_Perrota,1,0
Amanda_Beard,2,Nancy_Greenlaw,1,0
Amanda_Coetzer,2,Rhett_Warrener,1,0
Amanda_Plumer,1,Jean_Brumley,1,0
Amy_Cotton,1,Curt_Weldon,1,0
Amy_Redford,1,Guillaume_Depardieu,1,0
Ana_Guevara,1,Michelangelo_Antonioni,1,0
Anastasia_Kelesidou,1,Maribel_Dominguez,1,0
Anastasia_Myskina,2,Maureen_Fanning,1,0
Anders_Fogh_Rasmussen,4,Paula_Dobriansky,1,0
Andrea_Bocelli,1,Glenn_Plummer,1,0
Andrea_Yates,1,Andy_Wisecarver,1,0
Andres_Manuel_Lopez_Obrador,1,John_Jumper,1,0
Andres_Pastrana,1,Juan_Antonio_Samaranch,1,0
Andrew_Cuomo,1,Hamad_Bin_Jassim,1,0
Andrew_Cuomo,2,Jean-Rene_Fourtou,1,0
Andrew_Fastow,1,Suzie_McConnell_Serio,1,0
Andrew_Gilligan,1,Hashim_Thaci,2,0
Andrew_Jarecki,1,Mike_Myers,3,0
Andrew_Weissmann,1,Johnny_Benson,1,0
Andy_Dick,1,Linda_Lingle,1,0
Andy_Madikians,1,Solomon_Passy,1,0
Andy_Roddick,1,Richard_Gephardt,4,0
Andy_Rooney,1,Mike_Krzyzewski,2,0
Andy_Wisecarver,1,Peggy_McGuinness,1,0
Anette_Hosoi,1,Dan_Dickau,1,0
Angel_Maza,1,Juliette_Lewis,1,0
Angelica_Romero,1,Hama_Arba_Diallo,1,0
Angelo_Genova,1,Denise_Locke,1,0
Anibal_Ibarra,1,Christine_Arron,1,0
Anne_Cavers,1,Sophie,1,0
Anne_ONeil,1,Rohinton_Mistry,1,0
Anthony_Mazur,1,Ben_Wallace,1,0
Anthony_Mazur,1,Jose_Santos,1,0
Anthony_Mazur,1,Kim_Hong-up,1,0
Anthony_Pisciotti,1,Stephane_Rousseau,1,0
Anthony_Rackauckas,1,Jessica_Brungo,1,0
Anthony_Rackauckas,1,Samantha_Daniels,1,0
Anthony_Scott_Miller,1,Doc_Rivers,1,0
Anthony_Scott_Miller,1,Helen_Clark,2,0
Antwun_Echols,1,Henry_Hyde,1,0
Aram_Adler,1,Stanley_Nelson,1,0
Arnie_Boehm,1,Natasa_Micic,1,0
Art_Hoffmann,2,Timothy_Coughlin,1,0
Artieas_Shanks,1,Hrithik_Roshan,1,0
Arye_Mekel,1,Jaouad_Gharib,1,0
Ashraf_Ghani,1,Max_von_Sydow,1,0
Ashton_Kutcher,3,Julio_Toro,1,0
Atal_Bihari_Vajpayee,24,Sarah_Price,1,0
BB_King,1,Benjamin_Martinez,1,0
BJ_Habibie,1,Daniel_Chin,1,0
Barbara_Bodine,1,Dora_Bakoyianni,1,0
Barry_Bonds,1,Michael_Rolinee,1,0
Barry_Collier,1,Rainer_Schuettler,1,0
Barry_Ford,1,Michael_Bloomberg,18,0
Barry_Hinson,1,John_Cusack,1,0
Barry_Hinson,1,Prince_Naruhito,3,0
Bart_Hendricks,1,David_Beckham,8,0
Beatriz_Merino,1,Mikhail_Kalashnikov,1,0
Ben_Howland,1,Filippo_Volandri,1,0
Ben_Howland,2,Conan_OBrien,1,0
Ben_Kingsley,1,Rob_Marshall,5,0
Ben_Lee,1,Mike_Holmgren,1,0
Benedita_da_Silva,1,Robert_Weitzel,1,0
Benedita_da_Silva,1,Yao_Ming,6,0
Benjamin_Bratt,1,Mark_Geragos,1,0
Benjamin_Martinez,1,Michael_Leavitt,1,0
Bernard_Giraudeau,1,Eve_Ensler,1,0
Bernard_Giraudeau,1,Marsha_Sharp,1,0
