bin,rel_mean,rel_lo,rel_hi,n,emp_BER
0,0.003197027931177416,7.349292459324364e-09,0.006406109779079712,270644,0.46772512969066377
1,0.009670955683242761,0.00640612728833484,0.0129626841630536,270643,0.4075516455256556
2,0.016318748665430927,0.012962687550125973,0.01973008508344057,270643,0.34558809945204566
3,0.023249451471269365,0.01973015270133323,0.026823260239100963,270643,0.2860705800630351
4,0.030569037344056405,0.026823273217852397,0.03442824862180261,270643,0.23111996245977173
5,0.038573674478610674,0.03442826334529505,0.042889637594122315,270642,0.17975037133925997
6,0.047675164174727676,0.04288964357147497,0.052756957008801036,270643,0.1313390702881656
7,0.058607059782480264,0.05275706260792981,0.06500979948570407,270644,0.08963804850652518
8,0.07325482512631595,0.06500981854307034,0.08303316377979844,270643,0.0526708616147471
9,0.10331857762080766,0.0830333209954224,0.23466488560311385,270644,0.020817014232718995
