bit_position,dimension,threshold,error_count,total,BER
0,0,0,154,881,0.17480136208853575
1,0,1,226,881,0.2565266742338252
2,0,2,206,881,0.23382519863791146
3,1,0,197,881,0.22360953461975028
4,1,1,253,881,0.28717366628830876
5,1,2,166,881,0.188422247446084
6,2,0,185,881,0.20998864926220204
7,2,1,225,881,0.25539160045402953
8,2,2,170,881,0.19296254256526674
9,3,0,182,881,0.20658342792281498
10,3,1,231,881,0.26220204313280365
11,3,2,170,881,0.19296254256526674
12,4,0,170,881,0.19296254256526674
13,4,1,260,881,0.29511918274687854
14,4,2,170,881,0.19296254256526674
15,5,0,163,881,0.18501702610669693
16,5,1,249,881,0.282633371169126
17,5,2,188,881,0.2133938706015891
18,6,0,170,881,0.19296254256526674
19,6,1,232,881,0.2633371169125993
20,6,2,188,881,0.2133938706015891
21,7,0,198,881,0.22474460839954596
22,7,1,222,881,0.25198637911464244
23,7,2,176,881,0.19977298524404086
24,8,0,178,881,0.20204313280363223
25,8,1,216,881,0.24517593643586832
26,8,2,169,881,0.19182746878547105
27,9,0,179,881,0.20317820658342792
28,9,1,229,881,0.2599318955732123
29,9,2,176,881,0.19977298524404086
30,10,0,160,881,0.18161180476730987
31,10,1,235,881,0.2667423382519864
32,10,2,186,881,0.21112372304199772
33,11,0,210,881,0.2383654937570942
34,11,1,228,881,0.25879682179341656
35,11,2,153,881,0.17366628830874006
36,12,0,158,881,0.1793416572077185
37,12,1,227,881,0.2576617480136209
38,12,2,195,881,0.2213393870601589
39,13,0,166,881,0.188422247446084
40,13,1,204,881,0.23155505107832008
41,13,2,193,881,0.21906923950056753
42,14,0,172,881,0.1952326901248581
43,14,1,215,881,0.24404086265607264
44,14,2,192,881,0.21793416572077184
45,15,0,170,881,0.19296254256526674
46,15,1,219,881,0.24858115777525538
47,15,2,192,881,0.21793416572077184
48,16,0,166,881,0.188422247446084
49,16,1,238,881,0.27014755959137343
50,16,2,178,881,0.20204313280363223
51,17,0,190,881,0.21566401816118047
52,17,1,234,881,0.2656072644721907
53,17,2,181,881,0.2054483541430193
54,18,0,183,881,0.20771850170261066
55,18,1,221,881,0.2508513053348468
56,18,2,183,881,0.20771850170261066
57,19,0,171,881,0.19409761634506242
58,19,1,220,881,0.24971623155505107
59,19,2,167,881,0.18955732122587968
60,20,0,153,881,0.17366628830874006
61,20,1,204,881,0.23155505107832008
62,20,2,191,881,0.21679909194097616
63,21,0,181,881,0.2054483541430193
64,21,1,231,881,0.26220204313280365
65,21,2,169,881,0.19182746878547105
66,22,0,185,881,0.20998864926220204
67,22,1,230,881,0.26106696935300794
68,22,2,168,881,0.19069239500567536
69,23,0,150,881,0.170261066969353
70,23,1,239,881,0.27128263337116915
71,23,2,193,881,0.21906923950056753
72,24,0,179,881,0.20317820658342792
73,24,1,217,881,0.246311010215664
74,24,2,193,881,0.21906923950056753
75,25,0,173,881,0.1963677639046538
76,25,1,229,881,0.2599318955732123
77,25,2,149,881,0.16912599318955732
78,26,0,165,881,0.1872871736662883
79,26,1,231,881,0.26220204313280365
80,26,2,175,881,0.19863791146424517
81,27,0,181,881,0.2054483541430193
82,27,1,225,881,0.25539160045402953
