timestamp,label,impostor_per_genuine,mode,k,gmr,far,n_genuine,n_impostor,errors
2026-07-30 02:12:15,single_K3,20,single,3,6.2377,0.0000,1523,30460,0
2026-07-30 02:35:45,vote_K3,20,vote,3,14.4452,0.0000,1523,30460,0
2026-07-30 02:42:36,single_K5,1,single,5,6.4987,0.0000,1508,1508,0
2026-07-30 02:46:29,vote_K5,1,vote,5,16.4456,0.0000,1508,1508,0
2026-07-30 02:50:52,vote_K7,1,vote,7,17.8018,0.0000,1483,1483,0
2026-07-30 02:55:46,vote_K10,1,vote,10,17.9831,0.0000,1418,1418,0
2026-07-30 03:04:00,vote_K15,1,vote,15,20.6318,0.0000,1013,1013,0
2026-07-30 03:12:39,vote_K3,1,vote,3,16.3870,0.0000,1013,1013,0
2026-07-30 03:15:10,vote_K5,1,vote,5,17.9664,0.0000,1013,1013,0
2026-07-30 03:17:49,vote_K7,1,vote,7,19.7433,0.0000,1013,1013,0
